GeneName,NC_291_C_Pa_yr2,NC_294_C_Pa_yr2,NC_297_C_Pa_yr2,NC_300_C_Pa_yr2,NC_313_C_Pa_yr2,NC_316_C_Pa_yr2,NC_319_C_Pa_yr2,NC_322_C_Pa_yr2,NC_325_C_Pa_yr2,NO_265_La_Pa_yr2,NO_268_La_Pa_yr2,NO_271_La_Pa_yr2,NO_274_La_Pa_yr2,NO_277_La_Pa_yr2,NO_280_La_Pa_yr2,NO_289_La_Pa_yr2,NO_266_N_Pa_yr2,NO_272_N_Pa_yr2,NO_275_N_Pa_yr2,NO_278_N_Pa_yr2,NC_292_La_Pa_yr2,NC_295_La_Pa_yr2,NC_298_La_Pa_yr2,NC_311_La_Pa_yr2,NC_314_La_Pa_yr2,NC_317_La_Pa_yr2,NC_320_La_Pa_yr2,NC_326_La_Pa_yr2,NC_293_N_Pa_yr2,NC_312_N_Pa_yr2,NC_318_N_Pa_yr2,NC_327_N_Pa_yr2,NO_261_C_Pa_yr2,NO_264_C_Pa_yr2,NO_267_C_Pa_yr2,NO_270_C_Pa_yr2,NO_276_C_Pa_yr2,NO_279_C_Pa_yr2,NO_282_C_Pa_yr2,NO_288_C_Pa_yr2
GE911501_Past,133,185,43,821,85,70,16,41,93,17,3,203,29,258,1,577,88,1,69,115,0,116,23,0,85,43,3,27,4,1,99,64,438,843,490,83,292,76,105,147
GE911505_Past,3,12,9,7,4,6,2,8,3,0,0,5,2,4,0,9,5,0,3,5,0,2,3,0,3,5,0,4,0,0,6,2,8,4,2,0,1,3,2,7
GE911506_Past,5,7,4,3,4,1,5,1,19,0,0,3,6,2,0,6,1,0,8,10,0,5,0,0,8,2,0,2,0,0,3,1,5,6,5,0,7,11,6,9
GE911522_Past,0,1,4,5,3,0,0,10,13,0,0,0,1,1,0,5,2,0,0,4,0,2,1,0,3,0,0,2,0,0,0,5,5,3,2,1,4,1,0,5
GE911563_Past,2,2,1,1,1,3,2,1,9,0,0,1,0,1,0,2,1,0,1,4,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,4,1,1
GE911569_Past,2,6,2,10,3,6,8,4,5,0,2,2,1,2,0,6,5,0,4,4,0,3,6,0,5,3,0,3,0,0,2,3,7,11,2,5,3,4,4,4
GE911574_Past,0,8,2,2,1,2,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3
GE911575_Past,0,3,3,1,2,4,3,0,5,0,0,0,0,1,0,0,1,0,1,2,0,2,10,0,2,4,0,0,0,0,1,0,1,1,0,1,0,9,0,2
GE911602_Past,1,1,2,1,2,0,0,1,6,0,0,3,0,4,0,1,0,0,1,3,0,2,4,0,2,4,0,0,0,0,1,3,5,3,2,2,0,5,0,0
GE911631_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE911635_Past,7,33,19,27,10,19,14,7,24,3,0,8,12,5,0,32,5,1,10,20,0,10,4,0,13,27,0,13,0,0,22,18,17,23,21,8,17,31,9,20
GE911647_Past,3,7,8,9,2,5,2,0,7,0,0,1,0,2,0,15,5,0,4,4,0,3,2,0,6,6,0,5,0,0,4,4,6,4,8,2,5,2,3,11
GE911648_Past,0,5,1,1,1,1,2,0,7,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,3,0,0,1,1,2,0,0,2,3,1,0,1
GE911650_Past,2,12,4,12,6,8,5,4,43,0,0,2,3,1,0,18,6,0,12,12,0,4,1,0,9,18,0,9,0,0,11,4,12,11,9,6,9,15,10,22
GE911651_Past,2,1,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
GE911657_Past,0,2,2,1,0,1,3,2,8,0,0,4,3,1,0,4,0,0,1,1,0,2,1,0,1,0,0,1,0,0,0,0,4,2,1,2,3,2,0,0
GE911673_Past,2,6,3,4,3,2,2,2,3,4,3,0,1,3,4,1,0,1,6,3,0,0,5,4,4,1,0,4,2,9,1,2,3,4,3,1,0,5,0,0
