"gene","NC_291_C_Pa_yr2","NC_294_C_Pa_yr2","NC_297_C_Pa_yr2","NC_300_C_Pa_yr2","NC_313_C_Pa_yr2","NC_316_C_Pa_yr2","NC_319_C_Pa_yr2","NC_322_C_Pa_yr2","NC_325_C_Pa_yr2","NO_265_La_Pa_yr2","NO_268_La_Pa_yr2","NO_271_La_Pa_yr2","NO_274_La_Pa_yr2","NO_277_La_Pa_yr2","NO_280_La_Pa_yr2","NO_289_La_Pa_yr2","NC_295_La_Pa_yr2","NC_298_La_Pa_yr2","NC_314_La_Pa_yr2","NC_317_La_Pa_yr2","NC_326_La_Pa_yr2","NO_261_C_Pa_yr2","NO_264_C_Pa_yr2","NO_267_C_Pa_yr2","NO_270_C_Pa_yr2","NO_276_C_Pa_yr2","NO_279_C_Pa_yr2","NO_282_C_Pa_yr2","NO_288_C_Pa_yr2"
"GE915776_Past",9.23808318659663,3.4245989242576,3.5906010871328,1.661838121246,5.52290648687182,7.08414259780856,5.40478867374981,6.79918364418786,2.72333831367305,0,0,0,2.76559716918301,1.00485021220762,0,6.09931213270223,2.92347922325607,3.16659158448558,0.718834579833974,8.33108853105361,2.88416433201716,6.90274006564372,3.89833427908434,2.48823126452433,3.59604129510097,6.47246563319579,2.59871012286435,4.52165864081254,4.09673591460241
"GE915779_Past",4.1058147495985,4.40305575975977,9.33556282654527,4.15459530311501,7.36387531582909,6.3757283380277,3.60319244916654,6.79918364418786,7.26223550312813,0,0,8.88219428604645,1.38279858459151,3.01455063662285,0,6.56848998906394,0.974493074418692,7.38871369713301,4.31300747900385,7.69023556712641,8.65249299605147,11.5045667760729,4.87291784885542,11.8190985064906,5.39406194265145,4.85434922489684,9.35535644231167,1.13041466020314,9.21765580785542
"GE915816_Past",0,4.40305575975977,2.15436065227968,0.830919060623001,0.920484414478636,5.66731407824684,1.80159622458327,7.93238091821917,3.63111775156407,9.74575991409087,0,0,2.76559716918301,5.02425106103809,0,3.75342285089368,0,3.16659158448558,3.59417289916987,1.2817059278544,3.84555244268954,4.0265983716255,2.92375070931325,6.22057816131082,8.99010323775242,1.61811640829895,2.07896809829148,5.65207330101568,2.04836795730121
"GE915843_Past",0,1.46768525325326,6.46308195683904,1.2463785909345,1.84096882895727,0.708414259780856,2.7023943368749,1.13319727403131,2.72333831367305,0,0,3.33082285726742,2.76559716918301,0,344.173062426857,2.34588928180855,0.974493074418692,1.05553052816186,1.43766915966795,1.9225588917816,2.88416433201716,2.87614169401822,0.974583569771084,6.22057816131082,1.79802064755048,2.42717461244842,1.55922607371861,0,1.5362759679759
"GE916135_Past",4.1058147495985,7.82765468401737,5.74496173941248,3.323676242492,6.44339090135046,4.25048555868513,2.7023943368749,6.79918364418786,3.63111775156407,0,0,2.22054857151161,5.53119433836603,5.02425106103809,0,2.34588928180855,1.94898614883738,2.11106105632372,2.15650373950192,5.7676766753448,6.7297167747067,5.17705504923279,4.87291784885542,1.24411563226216,1.79802064755048,5.66340742904632,3.11845214743722,3.39124398060941,5.63301188257832
"GE916149_Past",5.13226843699812,4.40305575975977,1.43624043485312,6.23189295467251,7.36387531582909,3.54207129890428,0,4.53278909612524,3.02593145963672,0,0,1.11027428575581,0,4.01940084883047,0,3.75342285089368,0,1.05553052816186,2.8753383193359,4.4859707474904,1.92277622134477,4.0265983716255,4.38562606396988,11.1970406903595,1.79802064755048,4.04529102074737,1.55922607371861,5.65207330101568,2.04836795730121
"GE916155_Past",5.13226843699812,2.93537050650652,1.43624043485312,3.323676242492,2.76145324343591,2.12524277934257,2.7023943368749,1.13319727403131,2.72333831367305,0,0,4.44109714302323,4.14839575377452,2.00970042441523,0,4.22260070725539,2.92347922325607,1.05553052816186,0.718834579833974,1.2817059278544,2.88416433201716,4.0265983716255,7.30937677328313,5.59852034517974,3.59604129510097,1.61811640829895,2.07896809829148,3.39124398060941,3.07255193595181
"GE916162_Past",2.05290737479925,2.93537050650652,4.30872130455936,2.0772976515575,0.920484414478636,4.95889981846599,5.40478867374981,2.26639454806262,2.72333831367305,0,0,0,4.14839575377452,3.01455063662285,0,2.81506713817026,4.87246537209346,1.05553052816186,2.8753383193359,3.8451177835632,1.92277622134477,5.17705504923279,2.92375070931325,3.73234689678649,3.59604129510097,2.42717461244842,4.15793619658297,2.26082932040627,4.09673591460241
"GE916281_Past",15.3968053109944,15.1660809502837,7.89932239169215,9.55556919716451,14.7277506316582,10.6262138967128,9.90877923520798,12.4651700143444,6.35445606523712,0,0,7.77192000029064,4.14839575377452,17.0824536075295,25.4943009205079,6.56848998906394,5.84695844651215,6.33318316897115,2.8753383193359,11.5353533506896,7.69110488537909,7.47796840444736,14.1314617616807,13.0632141387527,8.99010323775242,15.37210587884,10.3948404914574,11.3041466020314,8.70556381853012
"GE916291_Past",6.15872212439775,6.8491978485152,5.02684152198592,4.98551436373801,5.52290648687182,5.66731407824684,6.30558678604144,11.3319727403131,5.74926977330977,0,5.90409304700066,3.33082285726742,2.76559716918301,2.00970042441523,0,8.44520141451078,3.89797229767477,7.38871369713301,2.8753383193359,8.33108853105361,2.88416433201716,9.77888175966193,7.79666855816867,8.70880942583515,1.79802064755048,4.04529102074737,7.27638834402019,3.39124398060941,4.60882790392771
